Month,Company,Cost Center,Sales,COGS,Operating Expenses,Taxes,Depreciation,Assets,Liabilities,Current Assets,Current Liabilities
Aug,Delta Group,Finance,142812,63172.4,31723.67,6770.32,6872.2,4866757,2624891.2,1265203.06,1499269.6
Aug,Epsilon Inc,Sales,197666,86453.21,51279.75,11982.61,4895.64,4104683,1603314.73,1643002.06,796986.18
Aug,Epsilon Inc,Marketing,125603,44297.73,24167.51,3992.14,2648.8,3414022,1447865.02,1472300.12,542752.27
Aug,Epsilon Inc,Operations,243663,103371.94,52225.03,15543.65,6833.33,2566088,1273475.98,658773.09,405979.0
Aug,Epsilon Inc,IT,98681,45629.95,19922.52,4204.56,4258.65,4092101,2536898.03,1040885.96,1266259.43
Aug,Epsilon Inc,HR,146707,55102.8,41418.37,6710.07,6577.76,4592631,1965863.47,1819435.95,1168487.87
Aug,Epsilon Inc,Finance,108228,52039.8,19450.16,5694.22,3670.87,3398616,2155099.1,1507188.44,764854.66
Sep,Alpha Corp,Sales,86304,32817.04,15862.46,3455.5,3928.43,4903030,2517861.13,2187258.18,927134.0
Sep,Alpha Corp,Marketing,234553,107544.7,63037.29,12185.86,9003.79,4409965,2149814.69,1529989.98,751859.77
Sep,Alpha Corp,Operations,163457,78923.18,29816.77,5541.6,7496.07,2864690,1562092.65,1028671.14,497810.7
Sep,Alpha Corp,IT,110651,46605.61,32831.18,6833.76,3863.68,2280852,910999.44,720847.34,480119.89
Sep,Alpha Corp,HR,242005,85570.34,40883.86,13645.49,6013.48,4622221,1948908.01,1572700.84,1160568.67
Sep,Alpha Corp,Finance,109118,50249.14,17908.75,4773.53,3106.91,2443945,1220368.67,662540.63,606564.76
Sep,Beta Holdings,Sales,168664,72437.19,27662.78,8035.64,4363.05,2858379,1449194.98,878744.57,779458.69
Sep,Beta Holdings,Marketing,155939,63200.26,30696.96,8686.89,4034.96,4033901,2056921.05,1135910.07,1046499.18
Sep,Beta Holdings,Operations,160257,66242.61,44643.9,10616.34,4536.42,2528423,1269559.95,934562.1,393582.73
Sep,Beta Holdings,IT,113380,56296.24,30959.16,4821.65,4983.94,3959669,2403765.3,1083083.5,1254571.02
Sep,Beta Holdings,HR,190454,103497.53,40502.74,13210.73,7625.32,2033691,1249862.41,682299.14,435789.55
Sep,Beta Holdings,Finance,227226,110743.64,37254.74,7083.67,10154.45,3310077,1534909.64,1471963.03,615578.81
Sep,Gamma Ltd,Sales,220659,117752.82,36764.5,13324.12,10953.95,3493934,1905942.31,1092945.04,717199.6
Sep,Gamma Ltd,Marketing,89346,46992.81,20443.73,3553.61,2089.65,3139929,1193773.51,935619.79,408976.77
Sep,Gamma Ltd,Operations,224302,87085.72,54296.03,10636.45,8370.39,4693956,2778159.0,1965582.18,1045122.47
Sep,Gamma Ltd,IT,238588,115771.37,47423.09,13707.62,5270.23,2329638,932180.43,887723.66,556999.04
Sep,Gamma Ltd,HR,247670,100518.16,61033.88,14306.91,8762.48,4676517,2142374.85,1233202.59,1133201.87
Sep,Gamma Ltd,Finance,189869,95285.71,54215.42,7463.85,8396.36,4148091,2279357.22,1252961.46,1304153.63
Sep,Delta Group,Sales,152954,53539.66,26822.34,6973.23,4800.47,2721037,1658115.82,977749.26,686659.2
Sep,Delta Group,Marketing,92109,41063.48,14065.05,4316.02,1917.27,3817189,1656702.77,1609587.73,642246.46
Sep,Delta Group,Operations,95282,49090.03,24287.13,6057.88,4712.07,3076941,1747706.48,956775.48,959173.47
Sep,Delta Group,IT,196219,93599.96,42672.99,7601.08,4632.22,4664912,1971243.23,1177800.75,868589.67
Sep,Delta Group,HR,126733,59522.88,24660.43,5322.38,5360.27,3251011,1200752.4,1383135.77,676237.97
Sep,Delta Group,Finance,186108,87218.46,52825.89,6962.9,4163.06,3083868,1854779.01,946926.55,795245.36
Sep,Epsilon Inc,Sales,146314,80339.19,40727.15,7441.21,3205.63,3369363,1401882.74,1171443.03,730759.03
Sep,Epsilon Inc,Marketing,218440,116193.78,54693.02,13799.18,10128.92,4075712,1457240.61,1585004.01,473110.83
Sep,Epsilon Inc,Operations,217653,95096.77,57913.53,11770.01,10180.87,2088668,837920.49,918223.7,363300.4
Sep,Epsilon Inc,IT,158002,62803.69,35843.48,5398.77,4982.65,3556396,2280467.32,1075934.72,869931.3
Sep,Epsilon Inc,HR,91190,49859.78,17357.45,4220.17,4262.62,4254736,1539915.7,1577717.1,881161.4
Sep,Epsilon Inc,Finance,192082,77862.91,56804.39,8308.29,6619.38,2073869,1105857.51,634887.29,400428.54
Oct,Alpha Corp,Sales,217868,99653.15,60593.54,6967.39,9803.95,2749971,1051610.16,873864.14,568685.22
Oct,Alpha Corp,Marketing,196656,77423.85,41203.27,6248.84,5572.18,3185111,1198008.89,1189362.82,400316.49
Oct,Alpha Corp,Operations,115634,60820.31,27314.71,3606.25,4655.73,4702994,2281794.42,2049966.13,797626.76
Oct,Alpha Corp,IT,141035,69949.42,39819.65,8016.11,3913.04,4354476,2462581.45,1919481.87,1271721.48
Oct,Alpha Corp,HR,193816,92504.55,30559.03,7811.62,4222.43,3201838,1957857.72,964838.17,978121.5
Oct,Alpha Corp,Finance,83744,36951.81,17197.5,2917.72,2727.41,2865363,1776801.22,947999.46,704189.55
Oct,Beta Holdings,Sales,225448,121368.84,56426.45,12883.63,6956.78,2255948,796438.43,850986.92,457144.57
Oct,Beta Holdings,Marketing,185848,70782.87,32667.85,10317.37,7848.26,4983516,1843567.79,1778086.09,631682.16
Oct,Beta Holdings,Operations,239741,109441.42,52102.42,8001.52,7667.17,3741373,1936507.42,1192126.66,1004567.19
Oct,Beta Holdings,IT,118392,43032.76,24638.43,7585.81,3802.39,4002348,1731473.19,1245781.64,929273.95
Oct,Beta Holdings,HR,116027,45860.35,24091.38,5569.87,4336.86,4413608,2115422.75,1384872.63,1004105.76
Oct,Beta Holdings,Finance,155769,66047.69,24006.04,7121.6,5572.54,4530971,2171054.63,1261960.74,1231051.18
Oct,Gamma Ltd,Sales,197961,94855.88,48606.42,8635.88,4385.1,3929341,2077822.37,1061912.2,1151408.32
Oct,Gamma Ltd,Marketing,159239,67345.16,29090.4,11070.52,5353.62,3578608,1403407.99,1242199.04,432615.97
Oct,Gamma Ltd,Operations,178746,81576.55,30452.66,6072.37,4694.93,3251775,1542138.25,1070116.4,607543.68
Oct,Gamma Ltd,IT,200956,88763.19,38862.22,13263.76,4719.28,4105188,2020581.45,1390942.55,1209231.91
Oct,Gamma Ltd,HR,217416,118883.64,42017.99,14881.13,6888.71,2167647,980028.18,776627.87,339328.4
Oct,Gamma Ltd,Finance,82352,37589.69,14432.23,3283.89,3718.73,4471465,2674135.02,1751932.26,944374.2
Oct,Delta Group,Sales,80340,33621.45,15307.75,5515.88,2950.99,4565618,1824295.92,1673741.34,1094420.92
Oct,Delta Group,Marketing,117772,55970.77,26302.57,5425.89,5866.87,3855227,1696865.89,1215031.17,912500.52
Oct,Delta Group,Operations,164754,64297.3,34478.18,5202.66,5645.52,2239779,1393328.09,619241.72,665877.55
Oct,Delta Group,IT,235914,99247.17,51610.9,7435.84,9997.04,4123238,1597533.08,1685753.42,611424.27
Oct,Delta Group,HR,146093,52139.46,43161.89,9929.14,5169.8,2038635,1175041.42,710232.34,459128.92
Oct,Delta Group,Finance,183651,74774.74,33145.97,11105.73,5802.68,4290378,2684148.06,1383447.91,1389623.55
Oct,Epsilon Inc,Sales,193613,85421.25,41920.77,10471.5,7307.38,3199151,2075727.17,837839.46,624690.83
Oct,Epsilon Inc,Marketing,82384,42789.74,23394.05,2677.34,3831.18,2330170,837083.32,1035309.93,306559.7
Oct,Epsilon Inc,Operations,170102,60186.04,37682.1,9782.38,7090.06,2642613,1342890.98,994967.11,662503.29
Oct,Epsilon Inc,IT,228683,116831.27,43864.6,8787.88,11142.22,2318766,1500621.44,672744.05,897963.75
Oct,Epsilon Inc,HR,206439,84417.84,31409.13,12286.17,9294.78,3038336,1126338.08,763026.93,654545.82
Oct,Epsilon Inc,Finance,196923,94859.4,52168.33,12570.95,7563.44,4846230,2405127.46,1286818.81,1015596.12
Nov,Alpha Corp,Sales,88605,31445.89,17359.54,4604.38,3452.29,3814188,2133377.88,958191.73,704617.08
Nov,Alpha Corp,Marketing,102031,49622.75,17033.03,6497.64,2782.07,3809595,1499300.22,1493445.09,749734.56
Nov,Alpha Corp,Operations,180859,94531.41,38015.82,7541.93,4443.69,4332214,2693914.93,1361611.14,1193218.69
Nov,Alpha Corp,IT,147904,68005.68,27050.32,4636.31,3910.41,2454418,1336050.74,673944.25,757003.31
Nov,Alpha Corp,HR,218262,114235.43,47601.2,13719.36,7997.06,3598099,1996171.95,1073623.58,1026403.25
Nov,Alpha Corp,Finance,187507,76997.65,36281.76,9850.03,4424.9,2336907,1166136.75,717091.17,396659.68
Nov,Beta Holdings,Sales,126154,51005.25,26538.64,4303.1,3238.52,2837393,1228168.02,1110542.28,391548.42
Nov,Beta Holdings,Marketing,233512,97625.33,67967.7,7777.96,11191.44,4331256,1984019.2,1317042.51,1096792.74
Nov,Beta Holdings,Operations,216643,110008.39,61479.13,10258.63,10246.84,3567343,2250623.66,1373526.98,753524.12
Nov,Beta Holdings,IT,142368,76314.12,39384.3,8119.8,3441.53,3396436,1915297.18,1301776.08,1129669.57
Nov,Beta Holdings,HR,178826,96593.68,45668.78,7496.76,4141.78,4464722,2412297.88,2008648.29,799537.85
Nov,Beta Holdings,Finance,233077,126178.56,52456.35,11026.68,7861.92,4727679,2177626.39,1531591.42,687490.82
Nov,Gamma Ltd,Sales,82257,37872.26,17468.89,4835.57,2561.06,4673829,2298049.47,1991197.67,838149.67
Nov,Gamma Ltd,Marketing,156396,78323.84,24302.5,7161.27,7495.16,3358097,1917906.46,1494079.02,605405.57
Nov,Gamma Ltd,Operations,96923,47748.28,17434.73,6358.98,2774.16,4570466,2514030.52,1895198.05,1344012.28
Nov,Gamma Ltd,IT,142507,52723.79,36083.72,5654.04,6745.15,3609473,1284244.32,992149.13,544638.77
Nov,Gamma Ltd,HR,104472,51947.67,20845.97,6920.5,2925.24,3061404,1497726.23,1355283.09,682528.35
Nov,Gamma Ltd,Finance,231379,102034.39,43982.35,8975.7,5540.5,4938827,1914610.69,1251447.07,1016749.15
Nov,Delta Group,Sales,194397,82336.21,34458.98,9218.37,5824.71,2029336,1180956.99,717557.19,477612.87
Nov,Delta Group,Marketing,231165,107290.59,54373.22,13065.51,8426.3,3498339,2113410.43,891093.39,1203731.33
Nov,Delta Group,Operations,107606,54456.73,23533.36,4941.29,3129.99,3138882,1767318.1,1373184.56,850057.99
Nov,Delta Group,IT,132428,66146.31,29276.05,4279.25,6453.71,3466760,1462097.83,1234677.81,724158.34
Nov,Delta Group,HR,141215,51560.56,28928.19,5509.54,3653.94,2764265,1710589.47,1159440.24,674903.0
Nov,Delta Group,Finance,186956,95763.49,45877.73,8511.48,7520.1,2598506,1540805.07,1141988.95,618174.14
Nov,Epsilon Inc,Sales,103989,46170.87,29483.08,6063.48,2273.83,2124932,1060752.74,629086.51,332407.18
Nov,Epsilon Inc,Marketing,238117,108565.15,44357.39,11911.6,9617.21,2289220,1227645.91,997486.54,648511.69
Nov,Epsilon Inc,Operations,111433,43020.0,24380.39,5842.99,5116.87,2863659,1773470.9,1102135.85,604930.42
Nov,Epsilon Inc,IT,127153,66215.81,23688.17,8700.45,3294.25,3107810,1552260.35,1029725.65,909478.66
Nov,Epsilon Inc,HR,156221,72472.16,29515.03,7417.35,5906.22,2385893,1280515.88,1064670.32,457185.52
Nov,Epsilon Inc,Finance,105372,56013.62,30721.76,7208.02,3755.86,3098657,1788523.32,874857.12,792441.09
Dec,Alpha Corp,Sales,116191,47870.69,21472.79,5615.44,5047.39,2888403,1500599.28,1167854.65,674772.53
Dec,Alpha Corp,Marketing,157960,81678.2,42280.07,7120.75,5774.97,2281854,1232906.5,671812.44,488848.65
Dec,Alpha Corp,Operations,164289,74412.52,44561.96,6596.67,4497.28,3806684,1881518.45,1456006.39,631345.0
Dec,Alpha Corp,IT,103816,39529.13,30990.42,7079.62,3616.98,2107096,1218538.63,683425.66,509029.23
Dec,Alpha Corp,HR,188125,100399.54,55052.77,9986.6,5778.0,3888529,2518727.34,1272578.02,1189223.1
Dec,Alpha Corp,Finance,146641,70582.16,27284.0,5523.05,6972.36,3035891,1087625.42,1268890.82,571581.59
Dec,Beta Holdings,Sales,114681,62072.7,19751.13,6557.69,3067.34,4437828,2510692.18,1609444.57,1075205.3
Dec,Beta Holdings,Marketing,188946,71565.73,40531.83,12498.84,8573.52,4367108,2078020.21,1773365.09,920356.65
Dec,Beta Holdings,Operations,127857,49983.91,30515.57,4787.66,3828.93,4310758,1551195.6,1626054.53,634914.09
Dec,Beta Holdings,IT,143353,77146.41,32403.23,6648.21,6354.32,2686268,1525866.76,1087350.9,619167.4
Dec,Beta Holdings,HR,164995,62750.74,46426.7,8507.77,4698.1,3818902,2403246.45,1253992.96,1115130.76
Dec,Beta Holdings,Finance,248616,87016.18,52827.14,12654.66,5379.81,3812105,1563603.77,1108238.68,473814.44
Dec,Gamma Ltd,Sales,118402,62344.2,18682.08,4457.21,3469.48,3200114,1756587.88,1274859.06,974076.49
Dec,Gamma Ltd,Marketing,173526,81891.47,49351.86,10883.74,4786.61,3531064,1628817.33,1519727.71,882832.12
Dec,Gamma Ltd,Operations,206479,103414.94,43149.83,11072.54,8224.15,3420858,1622652.91,1370963.37,496858.61
Dec,Gamma Ltd,IT,241953,122458.79,57479.79,16474.31,5146.99,4910712,2251625.67,2159936.04,1102503.67
Dec,Gamma Ltd,HR,222228,102673.41,59359.27,12964.69,5591.85,3321448,1609720.16,936000.66,569935.47
Dec,Gamma Ltd,Finance,206374,91288.14,59466.5,11925.08,8640.76,3558141,1613194.33,911494.6,509073.46
Dec,Delta Group,Sales,164040,68743.98,32864.03,11341.89,7495.99,2303664,1308750.75,834881.37,764476.91
Dec,Delta Group,Marketing,223184,95099.49,38935.63,13714.26,9381.16,4430865,1572153.14,1800855.3,530310.6
Dec,Delta Group,Operations,84173,41307.05,24876.37,3998.76,2276.81,2478108,1474817.34,890349.67,870305.32
Dec,Delta Group,IT,221650,96621.49,43515.47,10925.26,5220.91,4473199,2639192.08,1612773.5,1105732.03
Dec,Delta Group,HR,84986,44691.44,23058.27,4851.52,3293.28,2615937,1599447.21,1005933.98,862109.12
Dec,Delta Group,Finance,207426,107889.74,61664.82,11433.27,5688.72,2334971,948171.79,592987.21,395581.66
Dec,Epsilon Inc,Sales,172036,72356.91,41838.1,7459.82,7222.24,2990029,1589653.19,895293.35,646601.65
Dec,Epsilon Inc,Marketing,198639,82771.39,49983.76,6532.13,5196.8,4498214,2848874.45,1701885.23,1428550.27
Dec,Epsilon Inc,Operations,161486,60272.74,43140.89,9916.98,6141.81,2547219,1103852.21,777573.81,474221.18
Dec,Epsilon Inc,IT,174776,61572.91,38016.83,12074.25,4036.21,2095556,1348882.68,756703.35,481476.38
Dec,Epsilon Inc,HR,208467,90588.44,42105.88,9569.57,5822.13,3094409,1562790.98,1231674.65,764533.2
Dec,Epsilon Inc,Finance,156361,76297.25,26830.19,8414.47,3934.56,3079525,1140964.73,1034951.21,580453.53
